GPU,batch_size,frames,frames_w_detections,inference_time,total_time,index
A10,40,105,49,8.573350668,21.84668708,0
A10,40,105,49,8.791743755,19.99138713,1
A10,40,105,49,8.04790163,33.95938826,2
A10,40,105,49,7.972263336,20.17655897,3
A10,40,105,49,9.230745077,19.32573652,4
A10,40,620,564,31.00257993,83.63021231,0
A10,40,620,564,36.06707668,94.12352085,1
A10,40,620,564,31.42603421,87.72790074,2
A10,40,620,564,30.75994992,79.74332762,3
A10,40,620,564,35.0265429,103.4779482,4
A10,40,1237,1063,53.10914326,134.0293212,0
A10,40,1237,1063,57.66321969,142.872385,1
A10,40,1237,1063,57.24891686,142.998642,2
A10,40,1237,1063,54.21601439,134.9042454,3
A10,40,1237,1063,50.98593521,167.4575582,4
A10,40,4717,4353,240.5922055,603.6156697,0
A10,40,4717,4353,184.1471665,452.0382862,1
A10,40,4717,4353,197.5449302,483.4751453,2
A10,40,4717,4353,218.2848449,530.6848035,3
A10,40,4717,4353,196.7025857,466.2473085,4
A10,40,14151,13210,605.4004037,1581.563052,0
A10,40,14151,11311,648.3309467,1723.419962,1
A10,40,14151,11311,656.1359484,1492.880383,2
A10,40,14151,11311,666.2608757,1755.950165,3
A10,40,14151,11311,681.4411204,1725.281151,4
T4,400,104,96,14.44084024,29.48599672,0
T4,400,104,96,11.45924783,23.29254079,1
T4,400,104,96,11.59831691,24.20730853,2
T4,400,104,96,13.13419819,32.01401448,3
T4,400,104,96,6.594125032,20.89457607,4
T4,400,619,566,59.58130193,129.8058443,0
T4,400,619,566,43.88379431,99.70181346,1
T4,400,619,566,47.24211025,112.3783865,2
T4,400,619,566,55.32106495,124.3257024,3
T4,400,619,566,35.91416669,89.94213843,4
T4,400,1237,1063,89.35770774,192.3265231,0
T4,400,1237,1128,68.69440079,146.875345,1
T4,400,1237,1128,74.42322397,166.3509607,2
T4,400,1237,1128,96.10208368,212.4093044,3
T4,400,1237,1128,77.73120427,159.3075454,4
T4,400,4717,3772,247.6085508,508.6647062,0
T4,400,4717,3772,286.2902224,634.4842691,1
T4,400,4717,3772,374.79568,758.9736266,2
T4,400,4717,3772,366.8772397,763.2561297,3
T4,400,4717,3772,273.5618591,630.1090732,4
T4,400,14151,11311,931.9684069,1765.147728,0
T4,400,14151,11311,746.5644286,1572.152974,1
T4,400,14151,11311,794.5680466,1646.342673,2
T4,400,14151,11311,926.205168,2153.268077,3
T4,400,14151,11311,917.9498596,2098.772261,4
