GPU,batch_size,frames,frames_w_detections,inference_time,total_time,index
T4,40,105,105,11.84482241,27.43809056,0
T4,40,105,105,6.428905725,21.14055276,1
T4,40,105,105,9.389134645,24.32553315,2
T4,40,105,105,8.351866245,26.26119423,3
T4,40,105,105,10.33940434,31.21186948,4
T4,40,620,610,24.61389732,60.4477005,0
T4,40,620,610,33.58697772,74.78859949,1
T4,40,620,610,23.8920145,55.64668369,2
T4,40,620,610,24.43410921,54.90649033,3
T4,40,620,610,24.273911,63.17573738,4
T4,40,1237,1156,44.19667888,119.3951712,0
T4,40,1237,1156,42.25624585,96.42752171,1
T4,40,1237,1156,43.56316519,99.66849542,2
T4,40,1237,1156,42.22616887,96.46297598,3
T4,40,1237,1156,43.72562695,96.38083148,4
A10,400,105,105,3.300238609,15.03340983,0
A10,400,105,105,7.857048512,24.24116182,1
A10,400,105,105,7.717262506,25.79713321,2
A10,400,105,105,7.470633745,41.37057447,3
A10,400,105,105,7.674131155,20.97720718,4
A10,400,620,610,17.66131687,51.5947299,0
A10,400,620,610,25.56283998,76.66270685,1
A10,400,620,610,25.77840757,63.03649569,2
A10,400,620,610,21.95512724,55.15867996,3
A10,400,620,610,17.97236586,82.10720515,4
A10,400,1237,1156,38.26655602,102.8613009,0
A10,400,1237,1156,41.23056269,103.4201133,1
A10,400,1237,1156,39.88498378,105.6520855,2
A10,400,1237,1156,39.93955016,98.81285095,3
A10,400,1237,1156,38.66350245,95.50154495,4
