GPU,batch_size,frames,frames_w_detections,inference_time,total_time,index
T4,80,104,96,12.87,37.42,0
T4,80,104,96,13.47,36.64,1
T4,80,104,96,15.59,42.14,2
T4,80,104,96,12.9,33.1,3
T4,80,104,96,13.38,33.58,4
T4,80,619,566,55.45,111.2,0
T4,80,619,566,52.7,95.56,1
T4,80,619,566,49.13,90.49,2
T4,80,619,566,52.95,99.38,3
T4,80,619,566,59.38,121.21,4
T4,80,1237,1128,103.25,170.08,0
T4,80,1237,1128,110.85,207.08,1
T4,80,1237,1128,124.13,219.05,2
T4,80,1237,1128,101.77,172.46,3
T4,80,1237,1128,109.58,183.5,4
T4,80,4717,3772,719.42,1267.63,0
T4,80,4717,3772,701.5,1183.41,1
T4,80,4717,3772,692.26,1206.97,2
T4,80,4717,3772,689.91,1170.91,3
T4,80,4717,3772,727.56,1231.71,4
T4,80,14151,11311,2382.42,3869.86,0
T4,80,14151,11311,2037.26,3153.87,1
T4,80,14151,11311,2358.86,3653.85,2
T4,80,14151,11311,2158.19,3288.77,3
T4,80,14151,11311,2171.97,3381.96,4
A10,400,104,96,7.5,69.89,0
A10,400,104,96,12.54,40.13,1
A10,400,104,96,10.35,29.69,2
A10,400,104,96,10.13,50.12,3
A10,400,104,96,12.98,57.71,4
A10,400,619,566,54,100.61,0
A10,400,619,566,49.2,93.38,1
A10,400,619,566,44.67,94.86,2
A10,400,619,566,52.69,102.07,3
A10,400,619,566,41.35,82.64,4
A10,400,1237,1128,94.68,187.67,0
A10,400,1237,1128,76.98,144.37,1
A10,400,1237,1128,89.48,169.88,2
A10,400,1237,1128,93.27,184.27,3
A10,400,1237,1128,82.28,154.22,4
A10,400,4717,3772,565.53,993.06,0
A10,400,4717,3772,596.95,1039.27,1
A10,400,4717,3772,592.69,1035.86,2
A10,400,4717,3772,627.88,1112.5,3
A10,400,4717,3772,709.64,1200.15,4
A10,400,14151,11311,1640.66,2594.94,0
A10,400,14151,11311,1897.01,3292.05,1
A10,400,14151,11311,1786.42,2924.47,2
A10,400,14151,11311,1683.35,2763.99,3
A10,400,14151,11311,1714.35,2849.38,4
